,lat_topleft,lon_topleft,height,width,building_label,road_label,lc_label,similarity,image_size
denmark-1_18_0,55.75289414031672,8.845643395297364,2500,2500,denmark-1_18_label_building.tif,,True,0.97662768,6250000
denmark-1_19_0,55.528214975093135,8.846543472799526,2500,2500,denmark-1_19_label_building.tif,,True,0.96398832,6250000
denmark-1_20_0,55.30354305812302,8.847422714597318,2500,2500,denmark-1_20_label_building.tif,,True,0.9739264,6250000
denmark-1_21_0,57.324902115864674,9.254214916570032,2500,2500,denmark-1_21_label_building.tif,,True,0.98201616,6250000
denmark-1_22_0,57.10029488391075,9.25269464244992,2500,2500,denmark-1_22_label_building.tif,,True,0.96617408,6250000
denmark-1_23_0,56.87574146758619,9.251242079206268,2500,2500,denmark-1_23_label_building.tif,,True,0.98347424,6250000
denmark-1_24_0,56.65114015051513,9.24980591456866,2500,2500,denmark-1_24_label_building.tif,,True,0.95703536,6250000
denmark-1_25_0,56.42654352273221,9.248340953558891,2500,2500,denmark-1_25_label_building.tif,,True,0.95785952,6250000
denmark-1_26_0,56.20195538019943,9.246746065687349,2500,2500,denmark-1_26_label_building.tif,,True,0.95794304,6250000
denmark-1_27_0,55.97732544155071,9.245371889880309,2500,2500,denmark-1_27_label_building.tif,,True,0.97370992,6250000
denmark-1_28_0,55.7527424783937,9.243920280310974,2500,2500,denmark-1_28_label_building.tif,,True,0.96377488,6250000
denmark-1_29_0,55.52806244077268,9.24257966924768,2500,2500,denmark-1_29_label_building.tif,,True,0.97191968,6250000
denmark-1_30_0,57.32343952477409,9.669445106724698,2500,2500,denmark-1_30_label_building.tif,,True,0.96966656,6250000
denmark-1_31_0,57.09886839225525,9.665345612617765,2500,2500,denmark-1_31_label_building.tif,,True,0.9528192,6250000
denmark-1_32_0,56.87425350865722,9.661384628441464,2500,2500,denmark-1_32_label_building.tif,,True,0.98104688,6250000
denmark-1_33_0,56.649700370437934,9.657404529766756,2500,2500,denmark-1_33_label_building.tif,,True,0.9577424,6250000
denmark-1_34_0,56.42504935865814,9.65361081088116,2500,2500,denmark-1_34_label_building.tif,,True,0.9677464,6250000
denmark-1_35_0,56.20050239840423,9.649802786880825,2500,2500,denmark-1_35_label_building.tif,,True,0.97862192,6250000
denmark-1_36_0,55.97590280420068,9.64592433611166,2500,2500,denmark-1_36_label_building.tif,,True,0.96841328,6250000
denmark-1_37_0,55.526634944077664,9.638571065963932,2500,2500,denmark-1_37_label_building.tif,,True,0.97960464,6250000
denmark-1_38_0,57.54506862778119,10.091117231575808,2500,2500,denmark-1_38_label_building.tif,,True,0.96543584,6250000
denmark-1_39_0,57.32048077729725,10.08447975263242,2500,2500,denmark-1_39_label_building.tif,,True,0.97815216,6250000
denmark-1_40_0,57.09600841071419,10.077989575792142,2500,2112,denmark-1_40_label_building.tif,,True,0.9862426136363636,5280000
denmark-1_41_0,56.87142901334055,10.07148237794476,2500,2025,denmark-1_41_label_building.tif,,True,0.9861748148148148,5062500
denmark-1_42_0,56.64691942368064,10.065055428960692,2500,2500,denmark-1_42_label_building.tif,,True,0.97515616,6250000
denmark-1_43_0,56.42235513746479,10.058727312781162,2500,2500,denmark-1_43_label_building.tif,,True,0.95876608,6250000
denmark-1_44_0,55.52403404649926,10.034530060714385,2500,2500,denmark-1_44_label_building.tif,,True,0.95144704,6250000
denmark-1_45_0,55.29933453359342,10.028730298157248,2500,2500,denmark-1_45_label_building.tif,,True,0.98016176,6250000
denmark-1_46_0,55.51996323308591,10.430441412761104,2500,2500,denmark-1_46_label_building.tif,,True,0.97120672,6250000
denmark-1_47_0,55.29539043488258,10.422402868987144,2500,2500,denmark-1_47_label_building.tif,,True,0.95623024,6250000
denmark-1_48_0,56.75982242941341,11.476052868084626,998,1327,denmark-1_48_label_building.tif,,True,0.9966972377309252,1324346
denmark-1_49_0,55.95709048191084,11.247459528880857,2500,2500,denmark-1_49_label_building.tif,,True,0.98544336,6250000
denmark-1_50_0,55.94920404293085,11.647510760629055,2500,2500,denmark-1_50_label_building.tif,,True,0.98021952,6250000
denmark-1_51_0,55.7247591474951,11.632237202322605,2500,2500,denmark-1_51_label_building.tif,,True,0.97707136,6250000
denmark-1_52_0,55.500320656425046,11.61727624008829,2500,2500,denmark-1_52_label_building.tif,,True,0.9787624,6250000
denmark-1_53_0,55.27588854380059,11.60253485010149,2500,2500,denmark-1_53_label_building.tif,,True,0.97454352,6250000
denmark-1_54_0,55.05146278350736,11.587893741048518,2500,2500,denmark-1_54_label_building.tif,,True,0.98532176,6250000
denmark-1_55_0,56.14970016479492,12.066626548767088,2385,2500,,,True,0.5891359329140461,5962500
denmark-1_56_0,55.941368103027344,12.050402641296387,2500,2500,,,True,0.4104568,6250000
denmark-1_57_0,55.71636581420898,12.033584594726562,2500,2500,,,True,0.4814136,6250000
denmark-1_58_0,56.11647033691406,12.466440200805664,2059,1219,,,True,0.7231068228840669,2509921
denmark-1_59_0,55.93310546875,12.444911003112791,2500,1508,,,True,0.6641684350132626,3770000
denmark-2_1_0,56.87304737352809,8.134911654430175,2500,1804,denmark-2_1_label_building.tif,,True,0.9883665188470068,4510000
denmark-2_2_0,56.64808873661871,8.085002830287017,2500,2142,denmark-2_2_label_building.tif,,True,0.9881998132586368,5355000
denmark-2_3_0,56.42346336715708,8.085320776119717,2500,2173,denmark-2_3_label_building.tif,,True,0.978205430280718,5432500
denmark-2_4_0,56.19871680314403,8.068653968519895,2500,2310,denmark-2_4_label_building.tif,,True,0.9760793073593074,5775000
denmark-2_5_0,55.97429083885171,8.09950623795309,2500,2151,denmark-2_5_label_building.tif,,True,0.9885396559739656,5377500
denmark-2_6_0,55.74928247197074,8.049168260367548,2500,2500,denmark-2_6_label_building.tif,,True,0.9603656,6250000
denmark-2_7_0,56.87468714103954,8.430968608515405,2500,2500,denmark-2_7_label_building.tif,,True,0.9731824,6250000
denmark-2_8_0,56.650147548602426,8.434273115437653,2500,2500,denmark-2_8_label_building.tif,,True,0.98585488,6250000
denmark-2_9_0,56.42556355170768,8.437645374248437,2500,2500,denmark-2_9_label_building.tif,,True,0.9667472,6250000
denmark-2_10_0,56.20098803666424,8.440955789359252,2500,2500,denmark-2_10_label_building.tif,,True,0.97720576,6250000
denmark-2_11_0,55.97631664252434,8.444175233124659,2500,2500,denmark-2_11_label_building.tif,,True,0.97490976,6250000
denmark-2_12_0,55.75174219430632,8.447388809713587,2500,2500,denmark-2_12_label_building.tif,,True,0.96128112,6250000
denmark-2_13_0,56.87588873438951,8.8411167420307,2500,2500,denmark-2_13_label_building.tif,,True,0.9835912,6250000
denmark-2_14_0,56.65128830092848,8.841939717043823,2500,2500,denmark-2_14_label_building.tif,,True,0.95490192,6250000
denmark-2_15_0,56.42674223157365,8.842859199305568,2500,2500,denmark-2_15_label_building.tif,,True,0.96315504,6250000
denmark-2_16_0,56.20215907548839,8.843784217470551,2500,2500,denmark-2_16_label_building.tif,,True,0.96052688,6250000
denmark-2_17_0,55.97747241469292,8.844772550425747,2500,2500,denmark-2_17_label_building.tif,,True,0.97331376,6250000
denmark-2_18_0,55.75289414031672,8.845643395297364,2500,2500,denmark-2_18_label_building.tif,,True,0.97662768,6250000
denmark-2_19_0,55.528214975093135,8.846543472799526,2500,2500,denmark-2_19_label_building.tif,,True,0.96398832,6250000
denmark-2_20_0,55.30354305812302,8.847422714597318,2500,2500,denmark-2_20_label_building.tif,,True,0.9739264,6250000
denmark-2_21_0,57.324902115864674,9.254214916570032,2500,2500,denmark-2_21_label_building.tif,,True,0.98201616,6250000
denmark-2_22_0,57.10029488391075,9.25269464244992,2500,2500,denmark-2_22_label_building.tif,,True,0.96617408,6250000
denmark-2_23_0,56.87574146758619,9.251242079206268,2500,2500,denmark-2_23_label_building.tif,,True,0.98347424,6250000
denmark-2_24_0,56.65114015051513,9.24980591456866,2500,2500,denmark-2_24_label_building.tif,,True,0.95703536,6250000
denmark-2_25_0,56.42654352273221,9.248340953558891,2500,2500,denmark-2_25_label_building.tif,,True,0.95785952,6250000
denmark-2_26_0,56.20195538019943,9.246746065687349,2500,2500,denmark-2_26_label_building.tif,,True,0.95794304,6250000
denmark-2_27_0,55.97732544155071,9.245371889880309,2500,2500,denmark-2_27_label_building.tif,,True,0.97370992,6250000
denmark-2_28_0,55.7527424783937,9.243920280310974,2500,2500,denmark-2_28_label_building.tif,,True,0.96377488,6250000
denmark-2_29_0,55.52806244077268,9.24257966924768,2500,2500,denmark-2_29_label_building.tif,,True,0.97191968,6250000
denmark-2_30_0,57.32343952477409,9.669445106724698,2500,2500,denmark-2_30_label_building.tif,,True,0.96966656,6250000
denmark-2_31_0,57.09886839225525,9.665345612617765,2500,2500,denmark-2_31_label_building.tif,,True,0.9528192,6250000
denmark-2_32_0,56.87425350865722,9.661384628441464,2500,2500,denmark-2_32_label_building.tif,,True,0.98104688,6250000
denmark-2_33_0,56.649700370437934,9.657404529766756,2500,2500,denmark-2_33_label_building.tif,,True,0.9577424,6250000
denmark-2_34_0,56.42504935865814,9.65361081088116,2500,2500,denmark-2_34_label_building.tif,,True,0.9677464,6250000
denmark-2_35_0,56.20050239840423,9.649802786880825,2500,2500,denmark-2_35_label_building.tif,,True,0.97862192,6250000
denmark-2_36_0,55.97590280420068,9.64592433611166,2500,2500,denmark-2_36_label_building.tif,,True,0.96841328,6250000
denmark-2_37_0,55.526634944077664,9.638571065963932,2500,2500,denmark-2_37_label_building.tif,,True,0.97960464,6250000
denmark-2_38_0,57.54506862778119,10.091117231575808,2500,2500,denmark-2_38_label_building.tif,,True,0.96543584,6250000
denmark-2_39_0,57.32048077729725,10.08447975263242,2500,2500,denmark-2_39_label_building.tif,,True,0.97815216,6250000
denmark-2_40_0,57.09600841071419,10.077989575792142,2500,2112,denmark-2_40_label_building.tif,,True,0.9862426136363636,5280000
denmark-2_41_0,56.87142901334055,10.07148237794476,2500,2025,denmark-2_41_label_building.tif,,True,0.9861748148148148,5062500
denmark-2_42_0,56.64691942368064,10.065055428960692,2500,2500,denmark-2_42_label_building.tif,,True,0.97515616,6250000
denmark-2_43_0,56.42235513746479,10.058727312781162,2500,2500,denmark-2_43_label_building.tif,,True,0.95876608,6250000
denmark-2_44_0,55.52403404649926,10.034530060714385,2500,2500,denmark-2_44_label_building.tif,,True,0.95144704,6250000
denmark-2_45_0,55.29933453359342,10.028730298157248,2500,2500,denmark-2_45_label_building.tif,,True,0.98016176,6250000
denmark-2_46_0,55.51996323308591,10.430441412761104,2500,2500,denmark-2_46_label_building.tif,,True,0.97120672,6250000
denmark-2_47_0,55.29539043488258,10.422402868987144,2500,2500,denmark-2_47_label_building.tif,,True,0.95623024,6250000
denmark-2_48_0,56.75982242941341,11.476052868084626,998,1327,denmark-2_48_label_building.tif,,True,0.9966972377309252,1324346
denmark-2_49_0,55.95709048191084,11.247459528880857,2500,2500,denmark-2_49_label_building.tif,,True,0.98544336,6250000
denmark-2_50_0,55.94920404293085,11.647510760629055,2500,2500,denmark-2_50_label_building.tif,,True,0.98021952,6250000
denmark-2_51_0,55.7247591474951,11.632237202322605,2500,2500,denmark-2_51_label_building.tif,,True,0.97707136,6250000
denmark-2_52_0,55.500320656425046,11.61727624008829,2500,2500,denmark-2_52_label_building.tif,,True,0.9787624,6250000
denmark-2_53_0,55.27588854380059,11.60253485010149,2500,2500,denmark-2_53_label_building.tif,,True,0.97454352,6250000
denmark-2_54_0,55.05146278350736,11.587893741048518,2500,2500,denmark-2_54_label_building.tif,,True,0.98532176,6250000
denmark-2_55_0,56.14970016479492,12.066626548767088,2385,2500,,,True,0.5891359329140461,5962500
denmark-2_56_0,55.941368103027344,12.050402641296387,2500,2500,,,True,0.4104568,6250000
denmark-2_57_0,55.71636581420898,12.033584594726562,2500,2500,,,True,0.4814136,6250000
denmark-2_58_0,56.11647033691406,12.466440200805664,2059,1219,,,True,0.7231068228840669,2509921
denmark-2_59_0,55.93310546875,12.444911003112791,2500,1508,,,True,0.6641684350132626,3770000
east-africa_0_0,-10.930327873509814,37.22032821618882,2500,2500,east-africa_0_label_building.tif,east-africa_0_label_roads.tif,True,0.93284288,6250000
east-africa_1_0,-11.097875212521751,36.166235107858576,2500,2500,east-africa_1_label_building.tif,east-africa_1_label_roads.tif,True,0.95375712,6250000
east-africa_2_0,-10.808326721191406,35.97734069824219,2500,2500,,,True,0.58298832,6250000
east-africa_3_0,-11.099998474121092,35.35289764404297,2500,2500,,,True,0.482076,6250000
east-africa_4_0,-11.166656494140623,34.69510269165039,2500,2500,,,True,0.69663952,6250000
east-africa_5_0,-10.64166259765625,34.753231048583984,2500,2500,,,True,0.41929104,6250000
east-africa_6_0,-10.558319091796877,35.52762222290039,2500,2500,,,True,0.52600544,6250000
east-africa_7_0,-10.591659545898436,35.90236282348633,2500,2500,,,True,0.44962736,6250000
east-africa_8_0,-10.357004257661824,36.01798443618072,2500,2500,east-africa_8_label_building.tif,east-africa_8_label_roads.tif,True,0.92917776,6250000
east-africa_9_0,-9.983329772949217,34.569828033447266,2500,2500,,,True,0.55917952,6250000
east-africa_10_0,-9.966659545898436,35.78562927246094,2500,2500,,,True,0.69382896,6250000
east-africa_11_0,-10.494575937248184,36.70791179234155,2500,2500,east-africa_11_label_building.tif,east-africa_11_label_roads.tif,True,0.95101792,6250000
east-africa_12_0,-10.22464485453768,37.62288586476728,2500,2500,east-africa_12_label_building.tif,east-africa_12_label_roads.tif,True,0.9783248,6250000
east-africa_13_0,-10.261248338689958,38.36437983443563,2500,2500,east-africa_13_label_building.tif,east-africa_13_label_roads.tif,True,0.95168736,6250000
east-africa_14_0,-10.383323669433592,38.91282272338867,2500,2500,,,True,0.48416688,6250000
east-africa_15_0,-10.474990844726562,39.412494659423835,2500,2500,,,True,0.47392256,6250000
east-africa_16_0,-10.166656494140623,40.00362777709961,2500,2500,,,True,0.68312624,6250000
east-africa_17_0,-9.258338928222656,39.32873535156249,2500,2500,,,True,0.75357776,6250000
east-africa_18_0,-9.449989318847656,39.120620727539055,2500,2500,,,True,0.6558992,6250000
east-africa_19_0,-9.832539269426483,38.25307604329357,2500,2500,east-africa_19_label_building.tif,east-africa_19_label_roads.tif,True,0.94391616,6250000
east-africa_20_0,-9.371454714752469,37.06502109423037,2500,2500,east-africa_20_label_building.tif,east-africa_20_label_roads.tif,True,0.9405464,6250000
east-africa_21_0,-9.220487670458104,37.98018036561616,2500,2500,east-africa_21_label_building.tif,east-africa_21_label_roads.tif,True,0.94206592,6250000
east-africa_22_0,-9.415866533486607,36.1471077081725,2500,2500,east-africa_22_label_building.tif,east-africa_22_label_roads.tif,True,0.99599136,6250000
east-africa_23_0,-9.791671752929688,35.34423065185547,2500,2500,,,True,0.55753232,6250000
east-africa_24_0,-9.474998474121092,34.51969909667969,2500,2500,,,True,0.51597648,6250000
east-africa_25_0,-9.483322143554688,33.76186752319336,2500,2500,,,True,0.66432992,6250000
east-africa_26_0,-9.133331298828125,33.528560638427734,2500,2500,,,True,0.59808704,6250000
east-africa_27_0,-9.14166259765625,33.98660659790039,2500,2500,,,True,0.61005616,6250000
east-africa_28_0,-9.196731181431444,32.65322918042782,2500,2500,east-africa_28_label_building.tif,east-africa_28_label_roads.tif,True,0.96004512,6250000
east-africa_29_0,-8.799995422363281,33.36186981201172,2500,2500,,,True,0.57477328,6250000
east-africa_30_0,-8.816665649414062,33.23695373535156,2500,2500,,,True,0.59922352,6250000
east-africa_31_0,-8.84999084472656,32.98712158203125,2500,2500,,,True,0.5809904,6250000
east-africa_32_0,-8.800624469692462,32.71106859700451,2500,2500,east-africa_32_label_building.tif,east-africa_32_label_roads.tif,True,0.96216752,6250000
east-africa_33_0,-8.732538291528135,32.167314715561595,2500,2500,east-africa_33_label_building.tif,east-africa_33_label_roads.tif,True,0.96014128,6250000
east-africa_34_0,-8.464009220023224,32.20294119833743,2500,2500,east-africa_34_label_building.tif,east-africa_34_label_roads.tif,True,0.97098128,6250000
east-africa_35_0,-8.293094030325289,31.83351595772893,2500,2500,east-africa_35_label_building.tif,east-africa_35_label_roads.tif,True,0.95856736,6250000
east-africa_36_0,-7.480146258578928,31.15683606608142,2500,2500,east-africa_36_label_building.tif,east-africa_36_label_roads.tif,True,0.94823888,6250000
east-africa_37_0,-7.391685485839843,31.34284456782742,2500,2500,east-africa_37_label_building.tif,east-africa_37_label_roads.tif,True,0.95899152,6250000
east-africa_38_0,-7.830666069375495,30.742686666913787,2500,2500,east-africa_38_label_building.tif,east-africa_38_label_roads.tif,True,0.98506944,6250000
east-africa_39_0,-7.856646628164812,31.50714255404574,2500,2500,east-africa_39_label_building.tif,east-africa_39_label_roads.tif,True,0.9512688,6250000
east-africa_40_0,-7.749740596320644,32.371706006456215,2500,2500,east-africa_40_label_building.tif,east-africa_40_label_roads.tif,True,0.9388192,6250000
east-africa_41_0,-7.916671752929687,33.15330123901367,2500,2500,,,True,0.53234368,6250000
east-africa_42_0,-7.350006103515626,33.31965255737305,2500,2500,,,True,0.65267264,6250000
east-africa_43_0,-8.5916748046875,34.26957702636719,2500,2500,,,True,0.77020208,6250000
east-africa_44_0,-7.800010681152342,33.45309066772461,2500,2500,,,True,0.76257488,6250000
east-africa_45_0,-7.716674804687501,34.98556137084961,2500,2500,,,True,0.689792,6250000
east-africa_46_0,-8.058341979980467,34.727474212646484,2500,2500,,,True,0.68272896,6250000
east-africa_47_0,-8.475006103515625,35.10237503051758,2500,2500,,,True,0.592916,6250000
east-africa_48_0,-8.816665649414062,36.03584610585513,2500,2500,east-africa_48_label_building.tif,east-africa_48_label_roads.tif,True,0.96623328,6250000
east-africa_49_0,-7.666679382324218,35.58522033691406,2500,2500,,,True,0.5951,6250000
east-africa_50_0,-8.0848554662675,36.11137097146134,2500,2500,east-africa_50_label_building.tif,east-africa_50_label_roads.tif,True,0.96762032,6250000
east-africa_51_0,-7.980846488816605,36.58087692933686,2500,2500,east-africa_51_label_building.tif,east-africa_51_label_roads.tif,True,0.9525488,6250000
east-africa_52_0,-7.560560620425561,36.869191100855865,2500,2500,east-africa_52_label_building.tif,east-africa_52_label_roads.tif,True,0.94639264,6250000
east-africa_53_0,-8.563830730736422,36.61152048922538,2500,2500,east-africa_53_label_building.tif,east-africa_53_label_roads.tif,True,0.96769744,6250000
east-africa_54_0,-7.31443814210706,37.58347380991634,2500,2500,east-africa_54_label_building.tif,east-africa_54_label_roads.tif,True,0.96536752,6250000
east-africa_55_0,-7.7441610510405825,38.35210200167654,2500,2500,east-africa_55_label_building.tif,east-africa_55_label_roads.tif,True,0.96377888,6250000
east-africa_56_0,-6.906029415076326,37.49297825919,2500,2500,east-africa_56_label_building.tif,east-africa_56_label_roads.tif,True,0.95870448,6250000
east-africa_57_0,-7.566673278808594,35.91002655029297,2500,2500,,,True,0.60153968,6250000
east-africa_58_0,-8.808334350585938,39.40351104736328,2500,2500,,,True,0.8542984,6250000
east-africa_59_0,-8.325893426090719,38.49701574150539,2500,2500,east-africa_59_label_building.tif,east-africa_59_label_roads.tif,True,0.96318992,6250000
east-africa_60_0,-7.830592334401287,38.859713299356734,2500,2500,east-africa_60_label_building.tif,east-africa_60_label_roads.tif,True,0.96594176,6250000
east-africa_61_0,-7.800003051757812,39.57801818847656,2500,2500,,,True,0.85016976,6250000
east-africa_62_0,-6.566673278808594,39.01947784423828,2500,2500,,,True,0.62704688,6250000
east-africa_63_0,-6.800010681152344,39.177833557128906,2500,2500,,,True,0.64660912,6250000
east-africa_64_0,-6.058349609375,39.11089706420898,2500,2500,,,True,0.8545664,6250000
east-africa_65_0,-6.300018310546875,39.45251083374024,2500,2500,,,True,0.8856016,6250000
east-africa_66_0,-6.5280436335383945,38.23274598404684,2500,2500,east-africa_66_label_building.tif,east-africa_66_label_roads.tif,True,0.9290984,6250000
east-africa_67_0,-8.698850202954613,38.78332863772442,2500,2500,east-africa_67_label_building.tif,east-africa_67_label_roads.tif,True,0.960356,6250000
east-africa_68_0,-8.662764277176015,37.83337253429614,2500,2500,east-africa_68_label_building.tif,east-africa_68_label_roads.tif,True,0.9969512,6250000
east-africa_69_0,-8.40089020331453,37.43098333183743,2500,2500,east-africa_69_label_building.tif,east-africa_69_label_roads.tif,True,0.9387592,6250000
east-africa_70_0,-9.874992370605469,39.587135314941406,2500,2500,,,True,0.6669904,6250000
east-africa_71_0,-6.183349609375,33.78565979003906,2500,2500,,,True,0.61411216,6250000
east-africa_72_0,-6.058349609375,35.64315414428711,2500,2500,,,True,0.61751536,6250000
east-africa_73_0,-4.716682434082031,34.6515007019043,2500,2500,,,True,0.60748192,6250000
east-africa_74_0,-6.736653490994969,36.883841351405685,2500,2500,east-africa_74_label_building.tif,east-africa_74_label_roads.tif,True,0.95406192,6250000
east-africa_75_0,-6.588916057921814,36.18405974741634,2500,2500,east-africa_75_label_building.tif,east-africa_75_label_roads.tif,True,0.9436656,6250000
east-africa_76_0,-6.0015340268029815,36.69904680818157,2500,2500,east-africa_76_label_building.tif,east-africa_76_label_roads.tif,True,0.9726504,6250000
east-africa_77_0,-6.012463721880042,37.5112561031517,2500,2500,east-africa_77_label_building.tif,east-africa_77_label_roads.tif,True,0.98500512,6250000
east-africa_78_0,-6.716682434082031,33.11949157714844,2500,2500,,,True,0.58342832,6250000
east-africa_79_0,-6.62894143696922,32.37138310610925,2500,2500,east-africa_79_label_building.tif,east-africa_79_label_roads.tif,True,0.96342192,6250000
east-africa_80_0,-5.7530541550435,32.81759238878501,2500,2500,east-africa_80_label_building.tif,east-africa_80_label_roads.tif,True,0.95955136,6250000
east-africa_81_0,-4.911756784051089,32.709016009434144,2500,2500,east-africa_81_label_building.tif,east-africa_81_label_roads.tif,True,0.95486624,6250000
east-africa_82_0,-4.705762436640926,32.50236957972875,2500,2500,east-africa_82_label_building.tif,east-africa_82_label_roads.tif,True,0.94572192,6250000
east-africa_83_0,-4.708351135253905,33.65183639526367,2500,2500,,,True,0.7500408,6250000
east-africa_84_0,-4.38336181640625,34.0599250793457,2500,2500,,,True,0.71727264,6250000
east-africa_85_0,-4.79169464111328,35.68450164794922,2500,2500,,,True,0.68128736,6250000
east-africa_86_0,-4.6416778564453125,35.992706298828125,2500,2500,,,True,0.72514144,6250000
east-africa_87_0,-5.193217036101438,36.45976541130415,2500,2500,east-africa_87_label_building.tif,east-africa_87_label_roads.tif,True,0.96591168,6250000
east-africa_88_0,-5.337672816250822,37.49326338484964,2500,2500,east-africa_88_label_building.tif,east-africa_88_label_roads.tif,True,0.93410176,6250000
east-africa_89_0,-5.6166839599609375,34.73507308959961,2500,2500,,,True,0.63412768,6250000
east-africa_90_0,-6.10834503173828,34.668582916259766,2500,2500,,,True,0.59900128,6250000
east-africa_91_0,-6.591682434082031,35.476688385009766,2500,2500,,,True,0.60573456,6250000
east-africa_92_0,-7.283348083496093,34.760555267333984,2500,2500,,,True,0.76314336,6250000
east-africa_93_0,-6.95001220703125,34.543899536132805,2500,2500,,,True,0.68159488,6250000
east-africa_94_0,-5.00836181640625,34.668251037597656,2500,2500,,,True,0.585348,6250000
east-africa_95_0,-5.375015258789063,33.735382080078125,2500,2500,,,True,0.65284656,6250000
east-africa_96_0,-6.610851226075506,31.94355480935196,2500,2500,east-africa_96_label_building.tif,east-africa_96_label_roads.tif,True,0.95665824,6250000
east-africa_97_0,-6.225110664152344,30.961065200514515,2500,2500,east-africa_97_label_building.tif,east-africa_97_label_roads.tif,True,0.9393848,6250000
east-africa_98_0,-5.478419377509753,30.308431485145466,2500,2500,east-africa_98_label_building.tif,east-africa_98_label_roads.tif,True,0.94643584,6250000
east-africa_99_0,-4.766685485839844,29.526220321655277,2500,2500,,,True,0.8453888,6250000
east-africa_100_0,-4.459612599470101,30.00753221159485,2500,2500,east-africa_100_label_building.tif,east-africa_100_label_roads.tif,True,0.95936128,6250000
east-africa_101_0,-4.101723791416555,30.26868108501583,2500,2500,east-africa_101_label_building.tif,east-africa_101_label_roads.tif,True,0.9350336,6250000
east-africa_102_0,-4.066688537597656,29.66768264770508,2500,2500,,,True,0.58586,6250000
east-africa_103_0,-3.858360290527344,29.34272003173828,2500,2500,,,True,0.83566688,6250000
east-africa_104_0,-3.24169921875,29.25925064086914,2500,2500,,,True,0.75979904,6250000
east-africa_105_0,-3.49169921875,29.26764678955078,2500,2500,,,True,0.76768912,6250000
east-africa_106_0,-3.316688537597656,29.809139251708984,2500,2500,,,True,0.60064336,6250000
east-africa_107_0,-3.490256951958845,30.41001715377054,2500,2500,east-africa_107_label_building.tif,east-africa_107_label_roads.tif,True,0.942868,6250000
east-africa_108_0,-3.226007943701989,31.41815599652943,2500,2500,east-africa_108_label_building.tif,east-africa_108_label_roads.tif,True,0.96695328,6250000
east-africa_109_0,-3.338289893155697,31.802662920764096,2500,2500,east-africa_109_label_building.tif,east-africa_109_label_roads.tif,True,0.95615392,6250000
east-africa_110_0,-4.011400982149134,31.88951543314684,2500,2500,east-africa_110_label_building.tif,east-africa_110_label_roads.tif,True,0.97745392,6250000
east-africa_111_0,-3.73291971533781,32.491582312055385,2500,2500,east-africa_111_label_building.tif,east-africa_111_label_roads.tif,True,0.96145664,6250000
east-africa_112_0,-3.783363342285156,33.03498840332031,2500,2500,,,True,0.87094064,6250000
east-africa_113_0,-3.541694641113281,33.31816101074219,2500,2500,,,True,0.75468112,6250000
east-africa_114_0,-4.0916900634765625,33.11009979248047,2500,2500,,,True,0.7099536,6250000
east-africa_115_0,-4.206828115258163,32.335638512848774,2500,2500,east-africa_115_label_building.tif,east-africa_115_label_roads.tif,True,0.94538304,6250000
east-africa_116_0,-4.47072019345991,32.03090281417196,2500,2500,east-africa_116_label_building.tif,east-africa_116_label_roads.tif,True,0.95699344,6250000
