,samples
00090_n49.27_p178.48_train_s2.npy,16
00091_n49.18_n63.87_train_s2.npy,16
00092_n49.09_n73.77_train_s2.npy,16
00094_n49.00_n64.89_train_s2.npy,16
00095_n48.91_n73.93_train_s2.npy,16
00097_n48.82_n64.37_train_s2.npy,16
00098_n48.73_n69.42_train_s2.npy,16
00100_n48.64_p65.37_train_s2.npy,16
00101_n48.55_n66.20_train_s2.npy,16
00102_n48.46_n71.91_train_s2.npy,16
00104_n48.37_p165.18_train_s2.npy,16
00105_n48.28_n65.86_train_s2.npy,16
00107_n48.10_n72.61_train_s2.npy,16
00108_n48.01_n76.66_train_s2.npy,16
00110_n47.92_p66.73_train_s2.npy,16
00111_n47.83_n67.94_train_s2.npy,16
00112_n47.74_n67.58_train_s2.npy,16
00114_n47.56_n75.98_train_s2.npy,16
00115_n47.56_p171.61_train_s2.npy,16
00117_n47.38_n67.37_train_s2.npy,16
00118_n47.29_n70.58_train_s2.npy,16
00120_n47.20_p54.04_train_s2.npy,16
00121_n47.11_n67.68_train_s2.npy,16
00122_n47.02_n76.55_train_s2.npy,16
00124_n46.93_n66.28_train_s2.npy,16
00125_n46.84_n72.23_train_s2.npy,16
00127_n46.75_n63.69_train_s2.npy,16
00128_n46.66_n71.83_train_s2.npy,16
00130_n46.57_n64.66_train_s2.npy,16
00131_n46.48_n70.42_train_s2.npy,16
00132_n46.48_p167.53_train_s2.npy,16
00134_n46.30_n75.66_train_s2.npy,16
00135_n46.30_p51.33_train_s2.npy,16
00137_n46.12_n73.60_train_s2.npy,16
00138_n46.12_p167.35_train_s2.npy,16
00140_n45.94_n74.52_train_s2.npy,16
00141_n45.94_p170.05_train_s2.npy,16
00142_n45.85_n64.22_train_s2.npy,16
00144_n45.76_p169.24_train_s2.npy,16
00145_n45.67_n64.78_train_s2.npy,16
00147_n45.49_n76.12_train_s2.npy,16
00148_n45.49_p169.61_train_s2.npy,16
00150_n45.31_n67.57_train_s2.npy,16
00151_n45.22_n72.42_train_s2.npy,16
00152_n45.22_p173.11_train_s2.npy,16
00154_n45.05_n64.56_train_s2.npy,16
00155_n44.96_n71.33_train_s2.npy,16
00157_n44.87_n63.72_train_s2.npy,16
00158_n44.77_n71.99_train_s2.npy,16
00160_n44.68_n66.93_train_s2.npy,16
00161_n44.69_p175.51_train_s2.npy,16
00162_n44.60_n63.68_train_s2.npy,16
00164_n44.51_n5.10_train_s2.npy,16
00165_n44.41_n71.91_train_s2.npy,16
00167_n44.33_n71.06_train_s2.npy,16
00168_n44.32_p168.06_train_s2.npy,16
00170_n44.24_p166.89_train_s2.npy,16
00171_n44.14_n71.84_train_s2.npy,16
00172_n44.15_p147.99_train_s2.npy,16
00174_n44.06_p146.79_train_s2.npy,16
00175_n43.97_n72.36_train_s2.npy,16
00177_n43.88_n71.14_train_s2.npy,16
00178_n43.88_p146.71_train_s2.npy,16
00180_n43.79_n12.02_train_s2.npy,14
00181_n43.70_n178.45_train_s2.npy,16
00182_n43.70_n60.35_train_s2.npy,16
00184_n43.61_n68.59_train_s2.npy,16
00185_n43.61_p145.30_train_s2.npy,16
00187_n43.52_n12.96_train_s2.npy,16
00188_n43.52_p172.00_train_s2.npy,16
00190_n43.43_p148.57_train_s2.npy,16
00191_n43.34_n71.74_train_s2.npy,16
00192_n43.34_n10.19_train_s2.npy,16
00194_n43.25_n64.36_train_s2.npy,16
00195_n43.25_p148.90_train_s2.npy,16
00197_n43.16_n8.93_train_s2.npy,16
00198_n43.07_n77.94_train_s2.npy,16
00200_n43.07_p171.45_train_s2.npy,16
00201_n42.98_n67.64_train_s2.npy,16
00202_n42.98_n4.61_train_s2.npy,16
00204_n42.89_n13.55_train_s2.npy,15
00205_n42.89_p175.22_train_s2.npy,16
00207_n42.80_p166.65_train_s2.npy,16
00208_n42.71_n66.36_train_s2.npy,16
00210_n42.62_n71.28_train_s2.npy,16
00211_n42.62_n14.11_train_s2.npy,16
00212_n42.62_p174.26_train_s2.npy,16
00214_n42.53_p171.40_train_s2.npy,16
00215_n42.44_n67.17_train_s2.npy,16
00217_n42.35_n72.18_train_s2.npy,16
00218_n42.35_n15.14_train_s2.npy,16
00220_n42.26_n65.28_train_s2.npy,16
00221_n42.26_p145.93_train_s2.npy,16
00222_n42.17_n71.60_train_s2.npy,16
00224_n42.17_p172.84_train_s2.npy,16
00225_n42.08_n64.00_train_s2.npy,16
00227_n41.99_n74.19_train_s2.npy,16
00228_n41.99_n12.64_train_s2.npy,16
00230_n41.90_n67.93_train_s2.npy,16
00231_n41.90_n5.98_train_s2.npy,16
00232_n41.90_p176.74_train_s2.npy,16
00234_n41.81_p146.95_train_s2.npy,16
00235_n41.72_n73.15_train_s2.npy,16
00237_n41.72_p171.15_train_s2.npy,16
00238_n41.63_n67.16_train_s2.npy,16
00240_n41.63_p177.65_train_s2.npy,16
00241_n41.54_n63.82_train_s2.npy,16
00242_n41.54_p144.88_train_s2.npy,16
00244_n41.45_n60.50_train_s2.npy,16
00245_n41.45_p145.64_train_s2.npy,16
00247_n41.36_n13.47_train_s2.npy,16
00248_n41.36_p171.80_train_s2.npy,16
00250_n41.27_n5.68_train_s2.npy,16
00251_n41.27_p175.99_train_s2.npy,16
00252_n41.18_n64.89_train_s2.npy,16
00254_n41.09_n71.60_train_s2.npy,16
00255_n41.09_n14.01_train_s2.npy,15
00257_n41.00_n68.65_train_s2.npy,16
00258_n41.00_n6.49_train_s2.npy,14
00260_n40.91_n63.57_train_s2.npy,16
00261_n40.91_p145.04_train_s2.npy,11
00262_n40.82_n73.70_train_s2.npy,16
00264_n40.82_p169.55_train_s2.npy,16
00265_n40.73_n68.74_train_s2.npy,16
00267_n40.73_p175.97_train_s2.npy,16
00268_n40.64_n62.13_train_s2.npy,16
00270_n40.55_n72.34_train_s2.npy,16
00271_n40.55_n16.74_train_s2.npy,16
00272_n40.55_p170.89_train_s2.npy,16
00274_n40.46_n9.04_train_s2.npy,16
00275_n40.46_p177.75_train_s2.npy,16
00277_n40.37_p146.14_train_s2.npy,16
00278_n40.28_n72.86_train_s2.npy,16
00280_n40.28_p149.08_train_s2.npy,16
00281_n40.20_n70.88_train_s2.npy,16
00282_n40.19_n15.12_train_s2.npy,16
00284_n40.11_n70.32_train_s2.npy,16
00285_n40.11_n10.87_train_s2.npy,16
00287_n40.01_n66.94_train_s2.npy,16
00288_n40.02_n5.92_train_s2.npy,16
00290_n39.93_n65.33_train_s2.npy,16
00291_n39.92_p141.97_train_s2.npy,16
00292_n39.84_n75.55_train_s2.npy,16
00294_n39.84_p146.12_train_s2.npy,16
00295_n39.74_n73.23_train_s2.npy,16
00297_n39.74_p148.85_train_s2.npy,16
00298_n39.66_n69.98_train_s2.npy,16
00300_n39.66_p170.60_train_s2.npy,16
00301_n39.57_n68.96_train_s2.npy,16
00302_n39.57_n11.02_train_s2.npy,16
00304_n39.47_n66.42_train_s2.npy,16
00305_n39.48_n9.84_train_s2.npy,16
00307_n39.39_n65.75_train_s2.npy,16
00308_n39.39_n8.43_train_s2.npy,16
00310_n39.30_n64.51_train_s2.npy,16
00311_n39.30_n10.04_train_s2.npy,16
00312_n39.29_p173.90_train_s2.npy,16
00314_n39.21_n8.87_train_s2.npy,16
00315_n39.21_p176.12_train_s2.npy,16
00317_n39.12_n11.99_train_s2.npy,16
00318_n39.12_p149.71_train_s2.npy,16
00320_n39.03_n17.64_train_s2.npy,16
00321_n39.03_p143.96_train_s2.npy,16
00322_n38.94_n72.96_train_s2.npy,16
00324_n38.94_p78.04_train_s2.npy,15
00325_n38.94_p178.55_train_s2.npy,16
00327_n38.85_n12.17_train_s2.npy,16
00328_n38.85_p149.48_train_s2.npy,16
00330_n38.76_n17.00_train_s2.npy,16
00331_n38.76_p144.11_train_s2.npy,16
00332_n38.67_n72.57_train_s2.npy,16
00334_n38.67_n6.85_train_s2.npy,16
00335_n38.67_p172.58_train_s2.npy,16
00337_n38.58_n15.58_train_s2.npy,16
00338_n38.58_p143.55_train_s2.npy,16
00340_n38.49_n59.42_train_s2.npy,16
00341_n38.49_p77.34_train_s2.npy,16
00342_n38.49_p178.05_train_s2.npy,16
00344_n38.40_n7.28_train_s2.npy,16
00345_n38.40_p174.15_train_s2.npy,16
00347_n38.31_n17.58_train_s2.npy,16
00348_n38.31_p144.27_train_s2.npy,16
00350_n38.22_n60.69_train_s2.npy,16
00351_n38.22_n6.46_train_s2.npy,16
00352_n38.22_p150.37_train_s2.npy,16
00354_n38.13_n56.04_train_s2.npy,16
00355_n38.13_p141.84_train_s2.npy,16
00357_n38.04_n61.22_train_s2.npy,16
00358_n38.04_n6.45_train_s2.npy,16
00360_n37.95_n70.60_train_s2.npy,16
00361_n37.95_n57.83_train_s2.npy,16
00362_n37.95_p139.20_train_s2.npy,16
00364_n37.86_n64.36_train_s2.npy,16
00365_n37.86_n12.58_train_s2.npy,16
00367_n37.77_n70.67_train_s2.npy,16
00368_n37.77_n58.84_train_s2.npy,16
00370_n37.77_p173.35_train_s2.npy,16
00371_n37.68_n67.06_train_s2.npy,16
00372_n37.68_n55.82_train_s2.npy,16
00374_n37.68_p173.70_train_s2.npy,13
00375_n37.59_n68.68_train_s2.npy,16
00377_n37.59_p76.39_train_s2.npy,16
00378_n37.59_p150.23_train_s2.npy,16
00380_n37.50_n53.98_train_s2.npy,16
00381_n37.50_p139.96_train_s2.npy,16
00382_n37.50_p176.66_train_s2.npy,16
00384_n37.41_n13.41_train_s2.npy,16
00385_n37.41_p144.42_train_s2.npy,16
00387_n37.32_n62.09_train_s2.npy,16
00388_n37.32_n10.90_train_s2.npy,16
00390_n37.23_n71.17_train_s2.npy,16
00391_n37.23_n58.98_train_s2.npy,16
00392_n37.23_n6.72_train_s2.npy,16
00394_n37.14_n66.80_train_s2.npy,16
00395_n37.14_n53.27_train_s2.npy,16
00397_n37.05_n74.94_train_s2.npy,16
00398_n37.05_n61.76_train_s2.npy,16
00400_n37.05_p148.47_train_s2.npy,16
00401_n36.96_n69.11_train_s2.npy,16
00402_n36.96_n56.96_train_s2.npy,16
00405_n36.87_n66.22_train_s2.npy,16
00406_n36.87_n15.44_train_s2.npy,16
00408_n36.78_n73.79_train_s2.npy,16
00409_n36.78_n62.00_train_s2.npy,16
00411_n36.78_p145.83_train_s2.npy,16
00412_n36.69_n72.13_train_s2.npy,16
00413_n36.69_n60.80_train_s2.npy,16
00415_n36.69_p150.58_train_s2.npy,16
00416_n36.60_n67.22_train_s2.npy,16
00418_n36.60_p139.98_train_s2.npy,16
00419_n36.60_p174.91_train_s2.npy,16
00421_n36.51_n53.61_train_s2.npy,16
00422_n36.51_p143.27_train_s2.npy,16
00423_n36.42_n73.78_train_s2.npy,16
00425_n36.42_n9.10_train_s2.npy,16
00426_n36.42_p147.72_train_s2.npy,16
00428_n36.33_n57.95_train_s2.npy,16
00429_n36.33_p138.39_train_s2.npy,16
00431_n36.24_n66.91_train_s2.npy,16
00432_n36.24_n54.10_train_s2.npy,16
00433_n36.24_p142.78_train_s2.npy,16
00435_n36.15_n60.39_train_s2.npy,16
00436_n36.15_p137.42_train_s2.npy,16
00438_n36.06_n66.65_train_s2.npy,16
00439_n36.06_n53.64_train_s2.npy,16
00441_n35.97_n73.12_train_s2.npy,16
00442_n35.97_n61.35_train_s2.npy,16
00443_n35.97_p135.42_train_s2.npy,16
00445_n35.88_n68.71_train_s2.npy,16
00446_n35.88_n55.73_train_s2.npy,16
00448_n35.88_p174.40_train_s2.npy,16
00449_n35.79_n64.65_train_s2.npy,16
00451_n35.79_p139.67_train_s2.npy,16
00452_n35.79_p173.13_train_s2.npy,16
00453_n35.70_n65.24_train_s2.npy,16
00455_n35.70_p138.28_train_s2.npy,16
00456_n35.70_p151.23_train_s2.npy,16
00458_n35.61_n17.74_train_s2.npy,13
00459_n35.61_p137.89_train_s2.npy,16
00461_n35.52_n68.41_train_s2.npy,16
00462_n35.52_n54.61_train_s2.npy,16
00463_n35.52_p119.43_train_s2.npy,16
00465_n35.43_n72.85_train_s2.npy,15
00466_n35.43_n61.60_train_s2.npy,16
00468_n35.43_p141.78_train_s2.npy,16
00469_n35.34_n75.84_train_s2.npy,16
00471_n35.34_n10.30_train_s2.npy,16
00472_n35.34_p137.09_train_s2.npy,16
00473_n35.34_p149.98_train_s2.npy,16
00475_n35.25_n13.15_train_s2.npy,15
00476_n35.25_p135.10_train_s2.npy,16
00478_n35.17_n65.79_train_s2.npy,16
00479_n35.16_n15.88_train_s2.npy,16
00481_n35.16_p142.52_train_s2.npy,16
00482_n35.07_n74.41_train_s2.npy,16
00483_n35.07_n62.33_train_s2.npy,16
00485_n35.07_p123.61_train_s2.npy,16
00486_n35.07_p146.34_train_s2.npy,16
00488_n34.98_n62.80_train_s2.npy,16
00489_n34.98_p17.38_train_s2.npy,16
00491_n34.98_p142.76_train_s2.npy,16
00492_n34.90_n75.65_train_s2.npy,16
00493_n34.89_n62.72_train_s2.npy,16
00495_n34.89_p119.80_train_s2.npy,16
00496_n34.89_p143.13_train_s2.npy,16
00498_n34.81_n63.87_train_s2.npy,16
00499_n34.80_n14.28_train_s2.npy,16
00501_n34.80_p137.75_train_s2.npy,16
00502_n34.81_p150.56_train_s2.npy,16
00503_n34.71_n67.07_train_s2.npy,16
00505_n34.72_p24.43_train_s2.npy,16
00506_n34.71_p124.35_train_s2.npy,16
00508_n34.63_n74.87_train_s2.npy,16
00509_n34.63_n63.29_train_s2.npy,16
00511_n34.63_p114.41_train_s2.npy,16
00512_n34.62_p137.46_train_s2.npy,16
00513_n34.63_p150.24_train_s2.npy,16
00515_n34.54_n59.07_train_s2.npy,16
00516_n34.54_p18.17_train_s2.npy,16
00518_n34.54_p135.22_train_s2.npy,16
00519_n34.54_p147.98_train_s2.npy,16
00521_n34.45_n57.69_train_s2.npy,12
00522_n34.45_p20.32_train_s2.npy,16
00523_n34.45_p120.67_train_s2.npy,16
00525_n34.36_n75.06_train_s2.npy,16
00526_n34.36_n61.56_train_s2.npy,16
00528_n34.36_p120.67_train_s2.npy,16
00529_n34.36_p142.77_train_s2.npy,15
00531_n34.27_n63.23_train_s2.npy,16
00532_n34.27_n12.45_train_s2.npy,16
00533_n34.27_p114.76_train_s2.npy,16
00535_n34.27_p147.38_train_s2.npy,16
00536_n34.18_n71.53_train_s2.npy,16
00538_n34.18_p18.85_train_s2.npy,16
00539_n34.18_p119.44_train_s2.npy,16
00541_n34.09_n81.32_train_s2.npy,15
00542_n34.09_n65.91_train_s2.npy,16
00543_n34.09_n54.20_train_s2.npy,16
00545_n34.09_p118.10_train_s2.npy,16
00546_n34.09_p139.04_train_s2.npy,16
00548_n34.00_n68.24_train_s2.npy,16
00549_n34.00_n55.88_train_s2.npy,16
00551_n34.00_p116.48_train_s2.npy,16
00552_n34.00_p138.59_train_s2.npy,16
00553_n34.00_p151.71_train_s2.npy,16
00555_n33.91_n56.68_train_s2.npy,16
00556_n33.91_p17.16_train_s2.npy,16
00558_n33.91_p136.04_train_s2.npy,16
00559_n33.91_p148.06_train_s2.npy,16
00561_n33.82_n59.33_train_s2.npy,16
00562_n33.82_n12.93_train_s2.npy,16
00563_n33.82_p28.39_train_s2.npy,16
00565_n33.82_p144.90_train_s2.npy,16
00566_n33.73_n73.09_train_s2.npy,16
00568_n33.73_n12.26_train_s2.npy,16
00569_n33.73_p28.58_train_s2.npy,16
00571_n33.73_p145.59_train_s2.npy,16
00572_n33.64_n73.46_train_s2.npy,16
00573_n33.64_n61.91_train_s2.npy,16
00575_n33.64_p28.98_train_s2.npy,14
00576_n33.64_p124.19_train_s2.npy,16
00578_n33.55_n78.55_train_s2.npy,16
00579_n33.55_n62.80_train_s2.npy,16
00581_n33.55_p26.25_train_s2.npy,16
00582_n33.55_p122.75_train_s2.npy,16
00583_n33.55_p140.97_train_s2.npy,16
00585_n33.46_n63.61_train_s2.npy,16
00586_n33.46_n13.84_train_s2.npy,14
00588_n33.46_p135.24_train_s2.npy,16
00589_n33.46_p150.32_train_s2.npy,16
00591_n33.37_n55.25_train_s2.npy,16
00592_n33.37_p22.97_train_s2.npy,16
00593_n33.37_p119.05_train_s2.npy,16
00595_n33.37_p150.25_train_s2.npy,16
00596_n33.28_n66.70_train_s2.npy,16
00598_n33.28_p21.55_train_s2.npy,16
00599_n33.28_p117.22_train_s2.npy,16
00601_n33.28_p144.64_train_s2.npy,16
00602_n33.19_n71.02_train_s2.npy,16
00603_n33.19_n60.18_train_s2.npy,16
00605_n33.19_p29.69_train_s2.npy,16
00606_n33.19_p125.99_train_s2.npy,16
00608_n33.10_n72.57_train_s2.npy,16
00609_n33.10_n61.52_train_s2.npy,16
00611_n33.10_p27.94_train_s2.npy,16
00612_n33.10_p122.45_train_s2.npy,16
00613_n33.10_p138.76_train_s2.npy,16
00615_n33.01_n65.32_train_s2.npy,16
00616_n33.01_n52.14_train_s2.npy,16
00618_n33.01_p120.73_train_s2.npy,15
00619_n33.01_p136.06_train_s2.npy,16
00621_n32.92_n65.67_train_s2.npy,16
00622_n32.92_n53.90_train_s2.npy,16
00623_n32.92_p24.03_train_s2.npy,16
00625_n32.92_p134.29_train_s2.npy,16
00626_n32.92_p147.46_train_s2.npy,16
00628_n32.83_n58.34_train_s2.npy,16
00629_n32.83_p20.27_train_s2.npy,16
00631_n32.83_p131.82_train_s2.npy,16
00632_n32.83_p143.69_train_s2.npy,16
00633_n32.74_n71.09_train_s2.npy,16
00635_n32.74_p16.72_train_s2.npy,16
00636_n32.74_p29.96_train_s2.npy,16
00638_n32.74_p139.99_train_s2.npy,16
00639_n32.65_n74.23_train_s2.npy,16
00641_n32.65_p16.17_train_s2.npy,16
00642_n32.65_p30.90_train_s2.npy,16
00643_n32.65_p125.89_train_s2.npy,16
00645_n32.56_n73.31_train_s2.npy,16
00646_n32.56_n60.41_train_s2.npy,16
00648_n32.56_p116.18_train_s2.npy,16
00649_n32.56_p132.50_train_s2.npy,16
00651_n32.47_n68.75_train_s2.npy,16
00652_n32.47_n57.14_train_s2.npy,16
00653_n32.47_p20.61_train_s2.npy,16
00655_n32.47_p130.21_train_s2.npy,16
00656_n32.47_p142.03_train_s2.npy,16
00658_n32.38_n59.75_train_s2.npy,16
00659_n32.38_p17.61_train_s2.npy,16
00661_n32.38_p125.20_train_s2.npy,16
00662_n32.38_p138.07_train_s2.npy,16
00663_n32.38_p150.63_train_s2.npy,16
00665_n32.29_n52.35_train_s2.npy,12
00666_n32.29_p25.46_train_s2.npy,16
00668_n32.29_p135.15_train_s2.npy,16
00669_n32.29_p147.48_train_s2.npy,16
00671_n32.20_n54.43_train_s2.npy,16
00672_n32.20_p25.97_train_s2.npy,16
00673_n32.20_p121.33_train_s2.npy,16
00675_n32.20_p145.97_train_s2.npy,16
00676_n32.11_n69.02_train_s2.npy,16
00678_n32.11_p20.85_train_s2.npy,16
00679_n32.11_p114.96_train_s2.npy,16
00682_n32.11_p151.67_train_s2.npy,16
00683_n32.02_n63.21_train_s2.npy,16
00684_n32.02_n49.23_train_s2.npy,16
00686_n32.02_p123.62_train_s2.npy,16
00687_n32.02_p137.08_train_s2.npy,16
00689_n31.93_n64.11_train_s2.npy,16
00690_n31.93_n52.68_train_s2.npy,16
00692_n31.93_p119.28_train_s2.npy,16
00693_n31.93_p131.98_train_s2.npy,16
00694_n31.93_p144.58_train_s2.npy,16
00696_n31.84_n58.02_train_s2.npy,16
00697_n31.84_p20.26_train_s2.npy,16
00699_n31.84_p125.62_train_s2.npy,16
00700_n31.84_p136.84_train_s2.npy,16
00702_n31.75_n65.67_train_s2.npy,16
00703_n31.75_n54.15_train_s2.npy,16
00704_n31.75_p24.67_train_s2.npy,16
00706_n31.75_p130.65_train_s2.npy,16
00707_n31.75_p142.38_train_s2.npy,16
00709_n31.66_n58.64_train_s2.npy,16
00710_n31.66_p21.91_train_s2.npy,16
00712_n31.66_p134.34_train_s2.npy,16
00713_n31.66_p147.75_train_s2.npy,16
00714_n31.57_n66.19_train_s2.npy,16
00716_n31.57_p23.15_train_s2.npy,16
00717_n31.57_p117.98_train_s2.npy,16
00719_n31.57_p140.55_train_s2.npy,16
00720_n31.57_p151.52_train_s2.npy,16
00722_n31.48_n50.22_train_s2.npy,16
00723_n31.48_p26.61_train_s2.npy,16
00724_n31.48_p120.09_train_s2.npy,16
00726_n31.48_p144.75_train_s2.npy,16
00727_n31.39_n69.74_train_s2.npy,16
00729_n31.39_p19.74_train_s2.npy,16
00730_n31.39_p31.00_train_s2.npy,16
00732_n31.39_p137.95_train_s2.npy,15
00733_n31.39_p148.89_train_s2.npy,16
00734_n31.30_n66.84_train_s2.npy,16
00736_n31.30_p21.93_train_s2.npy,16
00737_n31.30_p116.79_train_s2.npy,16
00739_n31.30_p139.72_train_s2.npy,16
00740_n31.30_p152.13_train_s2.npy,16
00742_n31.21_p16.02_train_s2.npy,16
00743_n31.21_p26.32_train_s2.npy,16
00744_n31.21_p119.42_train_s2.npy,16
00746_n31.21_p142.12_train_s2.npy,16
00747_n31.12_n72.89_train_s2.npy,16
00749_n31.12_p16.63_train_s2.npy,16
00750_n31.12_p28.08_train_s2.npy,16
00752_n31.12_p133.03_train_s2.npy,16
00753_n31.12_p143.63_train_s2.npy,16
00755_n31.03_n60.04_train_s2.npy,16
00757_n31.03_p28.78_train_s2.npy,16
00758_n31.03_p121.17_train_s2.npy,16
00760_n31.03_p143.82_train_s2.npy,16
00761_n30.94_n70.56_train_s2.npy,16
00763_n30.94_p18.28_train_s2.npy,16
00764_n30.94_p30.75_train_s2.npy,16
00765_n30.94_p122.64_train_s2.npy,16
00767_n30.94_p146.73_train_s2.npy,16
00768_n30.85_n69.04_train_s2.npy,16
00770_n30.85_p20.47_train_s2.npy,16
00771_n30.85_p113.74_train_s2.npy,16
00773_n30.85_p136.03_train_s2.npy,16
00774_n30.85_p147.97_train_s2.npy,16
00775_n30.76_n63.64_train_s2.npy,16
00777_n30.76_p34.15_train_s2.npy,16
00778_n30.76_p125.56_train_s2.npy,16
00780_n30.76_p150.77_train_s2.npy,16
00781_n30.67_n64.51_train_s2.npy,16
00783_n30.67_p25.86_train_s2.npy,16
00784_n30.67_p116.43_train_s2.npy,16
00785_n30.67_p128.86_train_s2.npy,16
00787_n30.67_p151.64_train_s2.npy,16
00788_n30.58_n63.41_train_s2.npy,16
00790_n30.58_p27.92_train_s2.npy,16
00791_n30.58_p116.75_train_s2.npy,16
00793_n30.58_p144.83_train_s2.npy,16
00794_n30.49_n70.65_train_s2.npy,16
00795_n30.49_n60.12_train_s2.npy,16
00797_n30.49_p27.90_train_s2.npy,16
00798_n30.49_p117.27_train_s2.npy,16
00800_n30.49_p141.67_train_s2.npy,16
00801_n30.40_n72.05_train_s2.npy,16
00803_n30.40_p17.66_train_s2.npy,16
00804_n30.40_p29.43_train_s2.npy,16
00805_n30.41_p120.50_train_s2.npy,16
00807_n30.40_p145.51_train_s2.npy,16
00808_n30.31_n70.01_train_s2.npy,16
00810_n30.31_p16.92_train_s2.npy,16
00811_n30.31_p28.68_train_s2.npy,16
00813_n30.31_p130.18_train_s2.npy,16
00814_n30.31_p142.36_train_s2.npy,16
00815_n30.22_n72.84_train_s2.npy,16
00817_n30.22_p16.27_train_s2.npy,16
00818_n30.22_p28.44_train_s2.npy,16
00820_n30.22_p132.01_train_s2.npy,16
00821_n30.22_p141.99_train_s2.npy,16
00823_n30.13_n60.31_train_s2.npy,16
00824_n30.13_n49.30_train_s2.npy,16
00825_n30.13_p26.86_train_s2.npy,16
00827_n30.13_p127.95_train_s2.npy,16
00828_n30.14_p139.27_train_s2.npy,16
00830_n30.05_n64.41_train_s2.npy,16
00831_n30.05_n52.47_train_s2.npy,16
00833_n30.04_p32.96_train_s2.npy,16
00834_n30.04_p123.37_train_s2.npy,16
00835_n30.04_p134.79_train_s2.npy,16
00837_n29.96_n70.99_train_s2.npy,16
00838_n29.96_n59.27_train_s2.npy,16
00840_n29.96_p26.29_train_s2.npy,16
00841_n29.96_p115.28_train_s2.npy,16
00843_n29.95_p141.00_train_s2.npy,16
00844_n29.96_p169.63_train_s2.npy,16
00845_n29.87_n59.95_train_s2.npy,16
00847_n29.87_p30.52_train_s2.npy,16
00848_n29.87_p127.82_train_s2.npy,16
00850_n29.78_n69.94_train_s2.npy,16
00851_n29.78_n57.93_train_s2.npy,16
00853_n29.77_p28.01_train_s2.npy,16
00854_n29.77_p117.67_train_s2.npy,16
00855_n29.78_p132.99_train_s2.npy,16
00857_n29.68_n73.09_train_s2.npy,16
00858_n29.69_n59.95_train_s2.npy,16
00860_n29.68_p29.22_train_s2.npy,16
00861_n29.69_p122.22_train_s2.npy,16
00863_n29.69_p147.26_train_s2.npy,16
00864_n29.60_n67.73_train_s2.npy,16
00865_n29.60_n53.27_train_s2.npy,16
00867_n29.60_p31.77_train_s2.npy,16
00868_n29.60_p123.32_train_s2.npy,16
00870_n29.60_p146.26_train_s2.npy,16
